"Experiment","FDR","peptide_ids"
"TimsOn",0.066,18548
"IMwin",0.066,22752
"IMwin_IMscored",0.066,23077
"TimsOff",0.067,15513
"TimsOn",0.067,18599
"IMwin",0.067,22794
"IMwin_IMscored",0.067,23132
"TimsOff",0.068,15558
"TimsOn",0.068,18648
"IMwin",0.068,22846
"IMwin_IMscored",0.068,23177
"TimsOff",0.069,15602
"TimsOn",0.069,18731
"IMwin",0.069,22894
"IMwin_IMscored",0.069,23228
"TimsOff",0.07,15673
"TimsOn",0.07,18781
"IMwin",0.07,22957
"IMwin_IMscored",0.07,23271
"TimsOff",0.071,15751
"TimsOn",0.071,18818
"IMwin",0.071,23022
"IMwin_IMscored",0.071,23328
"TimsOff",0.072,15815
"TimsOn",0.072,18858
"IMwin",0.072,23059
"IMwin_IMscored",0.072,23393
"TimsOff",0.073,15858
"TimsOn",0.073,18916
"IMwin",0.073,23106
"IMwin_IMscored",0.073,23437
"TimsOff",0.074,15911
"TimsOn",0.074,18958
"IMwin",0.074,23134
"IMwin_IMscored",0.074,23472
"TimsOff",0.075,15944
"TimsOn",0.075,19020
"IMwin",0.075,23187
"IMwin_IMscored",0.075,23547
"TimsOff",0.076,15984
"TimsOn",0.076,19073
"IMwin",0.076,23226
"IMwin_IMscored",0.076,23607
"TimsOff",0.077,16018
"TimsOn",0.077,19142
"IMwin",0.077,23286
"IMwin_IMscored",0.077,23661
"TimsOff",0.078,16081
"TimsOn",0.078,19192
"IMwin",0.078,23345
"IMwin_IMscored",0.078,23719
"TimsOff",0.079,16125
"TimsOn",0.079,19239
"IMwin",0.079,23415
"IMwin_IMscored",0.079,23775
"TimsOff",0.08,16176
"TimsOn",0.08,19278
"IMwin",0.08,23459
"IMwin_IMscored",0.08,23838
"TimsOff",0.081,16218
"TimsOn",0.081,19334
"IMwin",0.081,23528
"IMwin_IMscored",0.081,23893
"TimsOff",0.082,16253
"TimsOn",0.082,19396
"IMwin",0.082,23564
"IMwin_IMscored",0.082,23958
"TimsOff",0.083,16327
"TimsOn",0.083,19452
"IMwin",0.083,23605
"IMwin_IMscored",0.083,23997
"TimsOff",0.084,16363
"TimsOn",0.084,19498
"IMwin",0.084,23646
"IMwin_IMscored",0.084,24047
"TimsOff",0.085,16416
"TimsOn",0.085,19528
"IMwin",0.085,23706
"IMwin_IMscored",0.085,24109
"TimsOff",0.086,16455
"TimsOn",0.086,19556
"IMwin",0.086,23748
"IMwin_IMscored",0.086,24155
"TimsOff",0.087,16490
"TimsOn",0.087,19609
"IMwin",0.087,23782
"IMwin_IMscored",0.087,24197
"TimsOff",0.088,16537
"TimsOn",0.088,19660
"IMwin",0.088,23840
"IMwin_IMscored",0.088,24235
"TimsOff",0.089,16600
"TimsOn",0.089,19719
"IMwin",0.089,23889
"IMwin_IMscored",0.089,24285
"TimsOff",0.09,16643
"TimsOn",0.09,19760
"IMwin",0.09,23945
"IMwin_IMscored",0.09,24324
